tile_name,ground_truth_boxes,predicted_boxes,true_positives,false_positives,false_negatives,maximum_true_positive_confidence,maximum_false_positive_confidence
test_0000_r0_c7353,1,0,0,0,1,0.0,0.0
test_0001_r0_c7737,0,0,0,0,0,0.0,0.0
test_0002_r0_c8121,1,5,1,4,0,0.1261955052614212,0.39124488830566406
test_0003_r0_c8505,3,3,1,2,2,0.21220062673091888,0.3457516133785248
test_0004_r0_c8889,1,3,0,3,1,0.0,0.2299354523420334
test_0005_r0_c9273,1,1,1,0,0,0.16246618330478668,0.0
test_0006_r0_c9657,1,1,1,0,0,0.13088546693325043,0.0
test_0007_r0_c10041,0,0,0,0,0,0.0,0.0
test_0008_r0_c10425,0,0,0,0,0,0.0,0.0
test_0009_r0_c10470,0,2,0,2,0,0.0,0.2620941400527954
test_0010_r384_c7353,0,0,0,0,0,0.0,0.0
test_0011_r384_c7737,0,0,0,0,0,0.0,0.0
test_0012_r384_c8121,3,0,0,0,3,0.0,0.0
test_0013_r384_c8505,1,3,1,2,0,0.189688578248024,0.1960543990135193
test_0014_r384_c8889,2,1,0,1,2,0.0,0.3379555940628052
test_0015_r384_c9273,1,1,1,0,0,0.32207781076431274,0.0
test_0016_r384_c9657,1,1,1,0,0,0.14857517182826996,0.0
test_0017_r384_c10041,0,0,0,0,0,0.0,0.0
test_0018_r384_c10425,1,3,1,2,0,0.4609145522117615,0.1661582589149475
test_0019_r384_c10470,1,5,1,4,0,0.4524783790111542,0.2585650384426117
test_0020_r768_c7353,0,0,0,0,0,0.0,0.0
test_0021_r768_c7737,0,0,0,0,0,0.0,0.0
test_0022_r768_c8121,1,1,1,0,0,0.4936714768409729,0.0
test_0023_r768_c8505,0,0,0,0,0,0.0,0.0
test_0024_r768_c8889,1,0,0,0,1,0.0,0.0
test_0025_r768_c9273,1,0,0,0,1,0.0,0.0
test_0026_r768_c9657,0,0,0,0,0,0.0,0.0
test_0027_r768_c10041,0,0,0,0,0,0.0,0.0
test_0028_r768_c10425,1,2,1,1,0,0.4563749432563782,0.16849501430988312
test_0029_r768_c10470,1,2,1,1,0,0.45247119665145874,0.17847533524036407
test_0030_r1152_c7353,0,0,0,0,0,0.0,0.0
test_0031_r1152_c7737,0,0,0,0,0,0.0,0.0
test_0032_r1152_c8121,0,2,0,2,0,0.0,0.28691771626472473
test_0033_r1152_c8505,1,2,0,2,1,0.0,0.27601778507232666
test_0034_r1152_c8889,0,1,0,1,0,0.0,0.103730708360672
test_0035_r1152_c9273,0,1,0,1,0,0.0,0.10118576139211655
test_0036_r1152_c9657,0,0,0,0,0,0.0,0.0
test_0037_r1152_c10041,0,0,0,0,0,0.0,0.0
test_0038_r1152_c10425,0,0,0,0,0,0.0,0.0
test_0039_r1152_c10470,0,0,0,0,0,0.0,0.0
test_0040_r1536_c7353,0,0,0,0,0,0.0,0.0
test_0041_r1536_c7737,0,0,0,0,0,0.0,0.0
test_0042_r1536_c8121,0,5,0,5,0,0.0,0.2595527172088623
test_0043_r1536_c8505,1,6,0,6,1,0.0,0.2563999891281128
test_0044_r1536_c8889,0,0,0,0,0,0.0,0.0
test_0045_r1536_c9273,0,0,0,0,0,0.0,0.0
test_0046_r1536_c9657,0,0,0,0,0,0.0,0.0
test_0047_r1536_c10041,0,0,0,0,0,0.0,0.0
test_0048_r1536_c10425,0,0,0,0,0,0.0,0.0
test_0049_r1536_c10470,0,0,0,0,0,0.0,0.0
test_0050_r1920_c7353,0,0,0,0,0,0.0,0.0
test_0051_r1920_c7737,0,0,0,0,0,0.0,0.0
test_0052_r1920_c8121,0,0,0,0,0,0.0,0.0
test_0053_r1920_c8505,0,1,0,1,0,0.0,0.11981748044490814
test_0054_r1920_c8889,0,0,0,0,0,0.0,0.0
test_0055_r1920_c9273,0,0,0,0,0,0.0,0.0
test_0056_r1920_c9657,0,0,0,0,0,0.0,0.0
test_0057_r1920_c10041,0,0,0,0,0,0.0,0.0
test_0058_r1920_c10425,0,0,0,0,0,0.0,0.0
test_0059_r1920_c10470,0,0,0,0,0,0.0,0.0
test_0060_r2304_c7353,2,0,0,0,2,0.0,0.0
test_0061_r2304_c7737,0,0,0,0,0,0.0,0.0
test_0062_r2304_c8121,0,0,0,0,0,0.0,0.0
test_0063_r2304_c8505,0,1,0,1,0,0.0,0.1067199558019638
test_0064_r2304_c8889,0,0,0,0,0,0.0,0.0
test_0065_r2304_c9273,0,0,0,0,0,0.0,0.0
test_0066_r2304_c9657,0,0,0,0,0,0.0,0.0
test_0067_r2304_c10041,1,1,1,0,0,0.10694240033626556,0.0
test_0068_r2304_c10425,1,0,0,0,1,0.0,0.0
test_0069_r2304_c10470,1,0,0,0,1,0.0,0.0
test_0070_r2688_c7353,0,0,0,0,0,0.0,0.0
test_0071_r2688_c7737,1,0,0,0,1,0.0,0.0
test_0072_r2688_c8121,0,0,0,0,0,0.0,0.0
test_0073_r2688_c8505,0,2,0,2,0,0.0,0.1526605188846588
test_0074_r2688_c8889,0,4,0,4,0,0.0,0.21598698198795319
test_0075_r2688_c9273,0,0,0,0,0,0.0,0.0
test_0076_r2688_c9657,0,0,0,0,0,0.0,0.0
test_0077_r2688_c10041,0,0,0,0,0,0.0,0.0
test_0078_r2688_c10425,0,0,0,0,0,0.0,0.0
test_0079_r2688_c10470,0,0,0,0,0,0.0,0.0
test_0080_r3072_c7353,0,0,0,0,0,0.0,0.0
test_0081_r3072_c7737,3,0,0,0,3,0.0,0.0
test_0082_r3072_c8121,0,0,0,0,0,0.0,0.0
test_0083_r3072_c8505,0,0,0,0,0,0.0,0.0
test_0084_r3072_c8889,0,7,0,7,0,0.0,0.21747544407844543
test_0085_r3072_c9273,2,1,0,1,2,0.0,0.10586593300104141
test_0086_r3072_c9657,0,0,0,0,0,0.0,0.0
test_0087_r3072_c10041,0,0,0,0,0,0.0,0.0
test_0088_r3072_c10425,0,0,0,0,0,0.0,0.0
test_0089_r3072_c10470,0,0,0,0,0,0.0,0.0
test_0090_r3456_c7353,3,2,1,1,2,0.41552355885505676,0.118318572640419
test_0091_r3456_c7737,1,0,0,0,1,0.0,0.0
test_0092_r3456_c8121,0,0,0,0,0,0.0,0.0
test_0093_r3456_c8505,0,0,0,0,0,0.0,0.0
test_0094_r3456_c8889,0,2,0,2,0,0.0,0.13757523894309998
test_0095_r3456_c9273,0,3,0,3,0,0.0,0.26499703526496887
test_0096_r3456_c9657,2,3,1,2,1,0.49607932567596436,0.26133736968040466
test_0097_r3456_c10041,1,2,1,1,0,0.5182222127914429,0.10667651146650314
