tile_name,ground_truth_boxes,predicted_boxes,true_positives,false_positives,false_negatives,maximum_true_positive_confidence,maximum_false_positive_confidence
test_0000_r0_c7353,1,1,0,1,1,0.0,0.1525452584028244
test_0001_r0_c7737,0,2,0,2,0,0.0,0.165839284658432
test_0002_r0_c8121,1,5,1,4,0,0.20173104107379913,0.7681059241294861
test_0003_r0_c8505,3,8,2,6,1,0.2878444492816925,0.766207754611969
test_0004_r0_c8889,1,2,1,1,0,0.6524945497512817,0.28959667682647705
test_0005_r0_c9273,1,1,1,0,0,0.2521478533744812,0.0
test_0006_r0_c9657,1,1,1,0,0,0.15956304967403412,0.0
test_0007_r0_c10041,0,0,0,0,0,0.0,0.0
test_0008_r0_c10425,0,1,0,1,0,0.0,0.14462684094905853
test_0009_r0_c10470,0,2,0,2,0,0.0,0.5382068157196045
test_0010_r384_c7353,0,0,0,0,0,0.0,0.0
test_0011_r384_c7737,0,1,0,1,0,0.0,0.11548122763633728
test_0012_r384_c8121,3,0,0,0,3,0.0,0.0
test_0013_r384_c8505,1,2,1,1,0,0.23701271414756775,0.2920230031013489
test_0014_r384_c8889,2,1,0,1,2,0.0,0.7035210132598877
test_0015_r384_c9273,1,1,1,0,0,0.26688483357429504,0.0
test_0016_r384_c9657,1,2,1,1,0,0.1701326221227646,0.12868715822696686
test_0017_r384_c10041,0,0,0,0,0,0.0,0.0
test_0018_r384_c10425,1,3,0,3,1,0.0,0.6916050910949707
test_0019_r384_c10470,1,4,0,4,1,0.0,0.7014567852020264
test_0020_r768_c7353,0,2,0,2,0,0.0,0.44126734137535095
test_0021_r768_c7737,0,0,0,0,0,0.0,0.0
test_0022_r768_c8121,1,1,0,1,1,0.0,0.3294123709201813
test_0023_r768_c8505,0,0,0,0,0,0.0,0.0
test_0024_r768_c8889,1,0,0,0,1,0.0,0.0
test_0025_r768_c9273,1,1,0,1,1,0.0,0.17792145907878876
test_0026_r768_c9657,0,0,0,0,0,0.0,0.0
test_0027_r768_c10041,0,0,0,0,0,0.0,0.0
test_0028_r768_c10425,1,1,1,0,0,0.6846160888671875,0.0
test_0029_r768_c10470,1,1,0,1,1,0.0,0.6929682493209839
test_0030_r1152_c7353,0,3,0,3,0,0.0,0.4749349057674408
test_0031_r1152_c7737,0,0,0,0,0,0.0,0.0
test_0032_r1152_c8121,0,2,0,2,0,0.0,0.21617662906646729
test_0033_r1152_c8505,1,2,0,2,1,0.0,0.20749668776988983
test_0034_r1152_c8889,0,0,0,0,0,0.0,0.0
test_0035_r1152_c9273,0,1,0,1,0,0.0,0.16910624504089355
test_0036_r1152_c9657,0,0,0,0,0,0.0,0.0
test_0037_r1152_c10041,0,0,0,0,0,0.0,0.0
test_0038_r1152_c10425,0,0,0,0,0,0.0,0.0
test_0039_r1152_c10470,0,0,0,0,0,0.0,0.0
test_0040_r1536_c7353,0,0,0,0,0,0.0,0.0
test_0041_r1536_c7737,0,0,0,0,0,0.0,0.0
test_0042_r1536_c8121,0,2,0,2,0,0.0,0.28333789110183716
test_0043_r1536_c8505,1,2,0,2,1,0.0,0.2642587721347809
test_0044_r1536_c8889,0,0,0,0,0,0.0,0.0
test_0045_r1536_c9273,0,0,0,0,0,0.0,0.0
test_0046_r1536_c9657,0,0,0,0,0,0.0,0.0
test_0047_r1536_c10041,0,0,0,0,0,0.0,0.0
test_0048_r1536_c10425,0,0,0,0,0,0.0,0.0
test_0049_r1536_c10470,0,0,0,0,0,0.0,0.0
test_0050_r1920_c7353,0,0,0,0,0,0.0,0.0
test_0051_r1920_c7737,0,0,0,0,0,0.0,0.0
test_0052_r1920_c8121,0,0,0,0,0,0.0,0.0
test_0053_r1920_c8505,0,0,0,0,0,0.0,0.0
test_0054_r1920_c8889,0,0,0,0,0,0.0,0.0
test_0055_r1920_c9273,0,0,0,0,0,0.0,0.0
test_0056_r1920_c9657,0,0,0,0,0,0.0,0.0
test_0057_r1920_c10041,0,0,0,0,0,0.0,0.0
test_0058_r1920_c10425,0,0,0,0,0,0.0,0.0
test_0059_r1920_c10470,0,0,0,0,0,0.0,0.0
test_0060_r2304_c7353,2,1,0,1,2,0.0,0.2593441307544708
test_0061_r2304_c7737,0,1,0,1,0,0.0,0.10467557609081268
test_0062_r2304_c8121,0,0,0,0,0,0.0,0.0
test_0063_r2304_c8505,0,0,0,0,0,0.0,0.0
test_0064_r2304_c8889,0,0,0,0,0,0.0,0.0
test_0065_r2304_c9273,0,0,0,0,0,0.0,0.0
test_0066_r2304_c9657,0,0,0,0,0,0.0,0.0
test_0067_r2304_c10041,1,0,0,0,1,0.0,0.0
test_0068_r2304_c10425,1,1,0,1,1,0.0,0.15650078654289246
test_0069_r2304_c10470,1,1,0,1,1,0.0,0.18463049829006195
test_0070_r2688_c7353,0,1,0,1,0,0.0,0.25418710708618164
test_0071_r2688_c7737,1,0,0,0,1,0.0,0.0
test_0072_r2688_c8121,0,0,0,0,0,0.0,0.0
test_0073_r2688_c8505,0,0,0,0,0,0.0,0.0
test_0074_r2688_c8889,0,6,0,6,0,0.0,0.30757489800453186
test_0075_r2688_c9273,0,2,0,2,0,0.0,0.15330694615840912
test_0076_r2688_c9657,0,0,0,0,0,0.0,0.0
test_0077_r2688_c10041,0,0,0,0,0,0.0,0.0
test_0078_r2688_c10425,0,0,0,0,0,0.0,0.0
test_0079_r2688_c10470,0,0,0,0,0,0.0,0.0
test_0080_r3072_c7353,0,0,0,0,0,0.0,0.0
test_0081_r3072_c7737,3,1,0,1,3,0.0,0.12669892609119415
test_0082_r3072_c8121,0,1,0,1,0,0.0,0.1253374218940735
test_0083_r3072_c8505,0,0,0,0,0,0.0,0.0
test_0084_r3072_c8889,0,8,0,8,0,0.0,0.3003149628639221
test_0085_r3072_c9273,2,0,0,0,2,0.0,0.0
test_0086_r3072_c9657,0,0,0,0,0,0.0,0.0
test_0087_r3072_c10041,0,0,0,0,0,0.0,0.0
test_0088_r3072_c10425,0,0,0,0,0,0.0,0.0
test_0089_r3072_c10470,0,0,0,0,0,0.0,0.0
test_0090_r3456_c7353,3,2,0,2,3,0.0,0.7243728041648865
test_0091_r3456_c7737,1,0,0,0,1,0.0,0.0
test_0092_r3456_c8121,0,0,0,0,0,0.0,0.0
test_0093_r3456_c8505,0,0,0,0,0,0.0,0.0
test_0094_r3456_c8889,0,1,0,1,0,0.0,0.25798672437667847
test_0095_r3456_c9273,0,2,0,2,0,0.0,0.35445815324783325
test_0096_r3456_c9657,2,3,1,2,1,0.7740885019302368,0.5172117948532104
test_0097_r3456_c10041,1,4,1,3,0,0.7744445204734802,0.14446339011192322
test_0098_r3456_c10425,0,0,0,0,0,0.0,0.0
test_0099_r3456_c10470,0,0,0,0,0,0.0,0.0
test_0100_r3840_c7353,4,1,0,1,4,0.0,0.18741339445114136
test_0101_r3840_c7737,0,0,0,0,0,0.0,0.0
test_0102_r3840_c8121,0,0,0,0,0,0.0,0.0
test_0103_r3840_c8505,0,0,0,0,0,0.0,0.0
test_0104_r3840_c8889,0,0,0,0,0,0.0,0.0
test_0105_r3840_c9273,0,3,0,3,0,0.0,0.660493791103363
test_0106_r3840_c9657,3,8,1,7,2,0.8109138607978821,0.6856461763381958
test_0107_r3840_c10041,1,2,1,1,0,0.8103945851325989,0.16022901237010956
test_0108_r3840_c10425,0,0,0,0,0,0.0,0.0
test_0109_r3840_c10470,0,0,0,0,0,0.0,0.0
test_0110_r4224_c7353,5,6,3,3,2,0.8639693856239319,0.3348013758659363
test_0111_r4224_c7737,1,2,1,1,0,0.8636806607246399,0.1561492532491684
test_0112_r4224_c8121,0,0,0,0,0,0.0,0.0
test_0113_r4224_c8505,0,0,0,0,0,0.0,0.0
test_0114_r4224_c8889,0,0,0,0,0,0.0,0.0
test_0115_r4224_c9273,0,0,0,0,0,0.0,0.0
test_0116_r4224_c9657,0,1,0,1,0,0.0,0.42004701495170593
test_0117_r4224_c10041,0,0,0,0,0,0.0,0.0
test_0118_r4224_c10425,0,1,0,1,0,0.0,0.18469153344631195
test_0119_r4224_c10470,0,0,0,0,0,0.0,0.0
test_0120_r4608_c7353,1,1,0,1,1,0.0,0.2119421362876892
test_0121_r4608_c7737,0,0,0,0,0,0.0,0.0
test_0122_r4608_c8121,0,0,0,0,0,0.0,0.0
test_0123_r4608_c8505,0,1,0,1,0,0.0,0.11396084725856781
test_0124_r4608_c8889,0,1,0,1,0,0.0,0.11511238664388657
test_0125_r4608_c9273,0,0,0,0,0,0.0,0.0
test_0126_r4608_c9657,0,0,0,0,0,0.0,0.0
test_0127_r4608_c10041,1,1,1,0,0,0.7824898362159729,0.0
test_0128_r4608_c10425,0,0,0,0,0,0.0,0.0
test_0129_r4608_c10470,0,0,0,0,0,0.0,0.0
test_0130_r4992_c7353,3,1,1,0,2,0.31211215257644653,0.0
test_0131_r4992_c7737,0,0,0,0,0,0.0,0.0
test_0132_r4992_c8121,0,0,0,0,0,0.0,0.0
test_0133_r4992_c8505,0,0,0,0,0,0.0,0.0
test_0134_r4992_c8889,0,1,0,1,0,0.0,0.18960842490196228
test_0135_r4992_c9273,0,1,0,1,0,0.0,0.23000474274158478
test_0136_r4992_c9657,0,1,0,1,0,0.0,0.11186312884092331
test_0137_r4992_c10041,0,1,0,1,0,0.0,0.22344861924648285
test_0138_r4992_c10425,1,2,1,1,0,0.7285698652267456,0.12190515547990799
test_0139_r4992_c10470,1,2,1,1,0,0.7582610845565796,0.1149994507431984
test_0140_r5376_c7353,3,3,1,2,2,0.4793592095375061,0.7785516977310181
test_0141_r5376_c7737,2,0,0,0,2,0.0,0.0
test_0142_r5376_c8121,0,0,0,0,0,0.0,0.0
test_0143_r5376_c8505,0,0,0,0,0,0.0,0.0
test_0144_r5376_c8889,0,0,0,0,0,0.0,0.0
