tile_name,ground_truth_boxes,predicted_boxes,true_positives,false_positives,false_negatives,maximum_true_positive_confidence,maximum_false_positive_confidence
test_0000_r0_c7354,0,1,0,1,0,0.0,0.11364267766475677
test_0001_r0_c7738,0,1,0,1,0,0.0,0.13006648421287537
test_0002_r0_c8122,0,1,0,1,0,0.0,0.11722864210605621
test_0003_r0_c8506,1,3,0,3,1,0.0,0.3331785500049591
test_0004_r0_c8890,1,3,0,3,1,0.0,0.2518731653690338
test_0005_r0_c9274,1,2,1,1,0,0.27962175011634827,0.1793069690465927
test_0006_r0_c9658,1,4,1,3,0,0.26639798283576965,0.1421801894903183
test_0007_r0_c10042,0,0,0,0,0,0.0,0.0
test_0008_r0_c10426,0,3,0,3,0,0.0,0.28646233677864075
test_0009_r0_c10470,0,5,0,5,0,0.0,0.3404758870601654
test_0010_r384_c7354,0,0,0,0,0,0.0,0.0
test_0011_r384_c7738,1,0,0,0,1,0.0,0.0
test_0012_r384_c8122,3,4,1,3,2,0.2152029126882553,0.24242037534713745
test_0013_r384_c8506,2,7,0,7,2,0.0,0.24340946972370148
test_0014_r384_c8890,1,1,0,1,1,0.0,0.1095188781619072
test_0015_r384_c9274,1,2,1,1,0,0.2466563880443573,0.16271665692329407
test_0016_r384_c9658,3,2,1,1,2,0.19317100942134857,0.15028153359889984
test_0017_r384_c10042,0,0,0,0,0,0.0,0.0
test_0018_r384_c10426,1,5,1,4,0,0.34515830874443054,0.22968991100788116
test_0019_r384_c10470,1,8,1,7,0,0.3071485161781311,0.3206111490726471
test_0020_r768_c7354,0,0,0,0,0,0.0,0.0
test_0021_r768_c7738,1,0,0,0,1,0.0,0.0
test_0022_r768_c8122,2,6,1,5,1,0.17495280504226685,0.2543327808380127
test_0023_r768_c8506,5,6,1,5,4,0.17707209289073944,0.19490979611873627
test_0024_r768_c8890,2,7,2,5,0,0.25551170110702515,0.1929466724395752
test_0025_r768_c9274,4,9,2,7,2,0.26051390171051025,0.19877183437347412
